CLUSTER_COUNT	STATUS	CLUSTER_SIZE	DATASET	RESOURCE_URI	CLUSTER_ID	ILN_GROUP	RESOURCE_URI_NEW
114	G	4	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/15102	PH06240a18876f654	1	http://www.vondel.humanities.uva.nl/ecartico/persons/15102
114	G	4	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26339272p1	PH06240a18876f654	1	https://archief.amsterdam/indexen/deeds/f6e7e882-a44f-4a50-b29e-3ace73210c48?person=961f6b18-7ccb-53f7-e053-b784100aa83b
115	G	8	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24278619p2	PH00314f220d500d5	1	https://archief.amsterdam/indexen/deeds/aa7422ef-10e6-4a10-b8e2-e4ad1d51c572?person=961f6b12-8231-53f7-e053-b784100aa83b
115	G	8	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24339543p2	PH00314f220d500d5	1	https://archief.amsterdam/indexen/deeds/797ecd70-79f0-4629-b3c3-6c868f34f72a?person=961f6ae6-0073-53f7-e053-b784100aa83b
115	G	8	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24529464p2	PH00314f220d500d5	1	https://archief.amsterdam/indexen/deeds/95228415-8cbf-44dd-998a-3d2d8c91e880?person=961f6aee-4873-53f7-e053-b784100aa83b
115	G	8	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24539009p2	PH00314f220d500d5	1	https://archief.amsterdam/indexen/deeds/d63c4e40-a96b-48c6-82b8-8c073a4b6057?person=961f6b13-a4ba-53f7-e053-b784100aa83b
115	G	8	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/saaId11216564p1	PH00314f220d500d5	1	https://archief.amsterdam/indexen/deeds/8be56ab1-84c6-4681-b3f6-d576be7a5b4b?person=99e87e1c-b5c6-2bb2-e053-b784100a6a2e
115	G	8	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/saaId11216566p2	PH00314f220d500d5	1	NOT FOUND
115	G	8	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/13585	PH00314f220d500d5	1	http://www.vondel.humanities.uva.nl/ecartico/persons/13585
115	G	8	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26402798p1	PH00314f220d500d5	1	https://archief.amsterdam/indexen/deeds/9a85b3ca-0cb8-4130-9559-87e132a50209?person=961f6b21-c9d2-53f7-e053-b784100aa83b
116	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24278619p1	PH1563f8f1e56ecb7	1	https://archief.amsterdam/indexen/deeds/aa7422ef-10e6-4a10-b8e2-e4ad1d51c572?person=961f6b12-8232-53f7-e053-b784100aa83b
116	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24339543p1	PH1563f8f1e56ecb7	1	https://archief.amsterdam/indexen/deeds/797ecd70-79f0-4629-b3c3-6c868f34f72a?person=961f6ae6-0074-53f7-e053-b784100aa83b
116	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24529464p1	PH1563f8f1e56ecb7	1	https://archief.amsterdam/indexen/deeds/95228415-8cbf-44dd-998a-3d2d8c91e880?person=961f6aee-4874-53f7-e053-b784100aa83b
116	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24539009p1	PH1563f8f1e56ecb7	1	https://archief.amsterdam/indexen/deeds/d63c4e40-a96b-48c6-82b8-8c073a4b6057?person=961f6b13-a4bb-53f7-e053-b784100aa83b
116	G	9	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24554783p1	PH1563f8f1e56ecb7	1	https://archief.amsterdam/indexen/deeds/7afc0087-40b2-4bbf-845a-7cd58fbb0c34?person=961f6ae6-ef9e-53f7-e053-b784100aa83b
116	G	9	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/saaId11216564p2	PH1563f8f1e56ecb7	1	https://archief.amsterdam/indexen/deeds/8be56ab1-84c6-4681-b3f6-d576be7a5b4b?person=99e87e1c-b5c7-2bb2-e053-b784100a6a2e
116	G	9	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/	http://goldenagents.org/uva/SAA/person/IndexOpBegraafregistersVoor1811/saaId11216566p1	PH1563f8f1e56ecb7	1	NOT FOUND
116	G	9	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/13579	PH1563f8f1e56ecb7	1	http://www.vondel.humanities.uva.nl/ecartico/persons/13579
116	G	9	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26402798p2	PH1563f8f1e56ecb7	1	https://archief.amsterdam/indexen/deeds/9a85b3ca-0cb8-4130-9559-87e132a50209?person=961f6b21-c9d3-53f7-e053-b784100aa83b
117	B	8	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24436702p2	PH276c23b7fce92de	 	https://archief.amsterdam/indexen/deeds/ab19efb8-a5dc-4b16-ac59-ff96dcab54cc?person=961f6ade-f641-53f7-e053-b784100aa83b
117	B	8	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/22205	PH276c23b7fce92de	 	http://www.vondel.humanities.uva.nl/ecartico/persons/22205
117	B	8	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26341658p3	PH276c23b7fce92de	 	https://archief.amsterdam/indexen/deeds/2855b9f7-7b9c-4df9-995d-9d754e34ff73?person=961f6b21-9a27-53f7-e053-b784100aa83b
117	B	8	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26403738p3	PH276c23b7fce92de	 	https://archief.amsterdam/indexen/deeds/d0c2382e-53b1-426b-b9f5-52676eb6e396?person=961f6b21-ca8e-53f7-e053-b784100aa83b
117	B	8	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26540516p1	PH276c23b7fce92de		https://archief.amsterdam/indexen/deeds/f9098abe-ba5d-4f8a-be2a-4a83f7b0f391?person=961f6b1f-1e5b-53f7-e053-b784100aa83b
117	B	8	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26540537p1	PH276c23b7fce92de		https://archief.amsterdam/indexen/deeds/c1a4f140-9d2f-4540-ab0c-0298ec08ff48?person=961f6b20-a319-53f7-e053-b784100aa83b
117	B	8	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26540567p1	PH276c23b7fce92de	 	https://archief.amsterdam/indexen/deeds/af1aa757-8be7-46ff-a790-f34afde101c6?person=961f6b20-a31f-53f7-e053-b784100aa83b
117	B	8	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26540627p1	PH276c23b7fce92de	 	https://archief.amsterdam/indexen/deeds/5b8299a5-1883-4122-b2d5-ab470cb7c7c8?person=961f6b20-a32b-53f7-e053-b784100aa83b
118	B	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24306597p2	PH0fac0efe4fee0fd	 	https://archief.amsterdam/indexen/deeds/8b68ea44-3ecb-4c57-883b-aafeaf7f1c75?person=961f6b03-b4cb-53f7-e053-b784100aa83b
118	B	5	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24498945p2	PH0fac0efe4fee0fd	1	https://archief.amsterdam/indexen/deeds/52fd17cc-985f-4803-9c5b-7826ba635b1b?person=961f6af5-9d47-53f7-e053-b784100aa83b
